               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027654,            0.014799,           0.0012934,             0.90117,             0.92429,             0.94919,             0.46739,            0.037863,            0.025148,           0.0035597,             0.00769,             0.00769,             0.00769
                  37,            0.027771,            0.015274,           0.0012542,             0.94042,             0.90316,             0.93434,             0.50996,            0.036703,             0.02524,           0.0027084,            0.007624,            0.007624,            0.007624
                  38,             0.02723,            0.015259,          0.00098476,             0.91445,             0.85893,             0.93642,             0.52153,             0.03338,            0.026204,           0.0028478,            0.007558,            0.007558,            0.007558
                  39,             0.02648,            0.014795,           0.0012908,             0.93676,             0.89305,             0.96155,             0.51644,            0.033312,            0.025498,           0.0020118,            0.007492,            0.007492,            0.007492
                  40,            0.026796,            0.014757,          0.00096766,             0.94601,             0.89558,             0.94927,             0.52355,            0.033516,            0.025437,           0.0010836,            0.007426,            0.007426,            0.007426
                  41,            0.026168,            0.014624,          0.00079505,             0.92143,             0.88406,             0.95143,             0.53787,            0.032774,            0.026842,           0.0022228,             0.00736,             0.00736,             0.00736
                  42,            0.026002,            0.014346,          0.00092203,             0.91972,             0.89651,             0.93323,             0.50648,            0.035017,            0.026011,           0.0023002,            0.007294,            0.007294,            0.007294
                  43,            0.025875,            0.014045,           0.0011898,             0.93684,             0.93355,             0.94442,             0.52118,              0.0329,            0.025658,           0.0034146,            0.007228,            0.007228,            0.007228
                  44,            0.025597,            0.014132,           0.0011824,             0.94707,             0.83747,             0.91915,             0.49935,            0.035573,            0.026602,           0.0038927,            0.007162,            0.007162,            0.007162
                  45,            0.025242,            0.014034,          0.00085133,             0.90627,             0.90577,             0.94447,             0.52049,            0.034215,            0.027319,           0.0036174,            0.007096,            0.007096,            0.007096
                  46,            0.024359,            0.013933,            0.001078,             0.96278,             0.85948,             0.93866,             0.53308,            0.033347,              0.0261,           0.0022352,             0.00703,             0.00703,             0.00703
                  47,            0.024424,            0.013734,          0.00091663,             0.92382,             0.92979,             0.94559,             0.52926,            0.033989,             0.02564,           0.0015694,            0.006964,            0.006964,            0.006964
                  48,            0.024104,            0.013728,           0.0011828,             0.93661,             0.83218,             0.93931,             0.52666,            0.032592,            0.026547,           0.0031153,            0.006898,            0.006898,            0.006898
                  49,            0.024119,            0.013767,           0.0010109,             0.88455,             0.92334,              0.9341,             0.54023,            0.031269,              0.0259,           0.0019663,            0.006832,            0.006832,            0.006832
                  50,            0.024681,            0.013927,           0.0011139,              0.9513,              0.9423,             0.95987,             0.53658,            0.033983,            0.024273,           0.0015673,            0.006766,            0.006766,            0.006766
                  51,            0.024052,            0.013578,           0.0011222,             0.96085,             0.86347,             0.94775,              0.5324,            0.034114,            0.026224,           0.0028125,              0.0067,              0.0067,              0.0067
                  52,            0.024017,            0.013113,          0.00093785,              0.9496,             0.84584,             0.94536,             0.52534,            0.033639,             0.02683,           0.0034081,            0.006634,            0.006634,            0.006634
                  53,            0.023571,            0.013685,          0.00082481,             0.95537,              0.8328,             0.92192,             0.52728,            0.032709,            0.025553,           0.0034611,            0.006568,            0.006568,            0.006568
                  54,            0.022544,             0.01322,            0.000978,             0.89939,             0.87745,              0.9122,             0.53226,            0.032564,             0.02657,           0.0014532,            0.006502,            0.006502,            0.006502
                  55,            0.023097,            0.013799,           0.0011606,             0.90231,             0.92427,             0.94338,             0.54154,            0.032786,             0.02462,          0.00084677,            0.006436,            0.006436,            0.006436
                  56,            0.023563,            0.013123,          0.00085328,             0.93467,              0.8577,             0.92976,             0.53374,            0.033224,            0.026101,           0.0015964,             0.00637,             0.00637,             0.00637
                  57,            0.022231,            0.013187,          0.00089793,             0.94399,             0.89529,             0.94984,             0.52731,            0.033902,            0.025362,           0.0026498,            0.006304,            0.006304,            0.006304
                  58,            0.022627,            0.013119,          0.00092985,             0.96552,             0.87675,             0.94061,             0.53904,            0.031952,            0.025703,           0.0026185,            0.006238,            0.006238,            0.006238
                  59,            0.021724,            0.012892,          0.00078894,             0.96074,             0.85198,             0.92129,             0.52853,             0.03434,            0.026014,           0.0025086,            0.006172,            0.006172,            0.006172
                  60,            0.022076,            0.012721,          0.00091691,             0.96974,             0.84616,              0.9366,             0.53966,            0.031611,             0.02507,            0.002303,            0.006106,            0.006106,            0.006106
                  61,            0.022312,            0.013194,           0.0008605,             0.96493,             0.84742,             0.93287,             0.51394,            0.033441,            0.025897,           0.0036333,             0.00604,             0.00604,             0.00604
                  62,            0.021061,            0.012764,          0.00087572,              0.9236,             0.87666,             0.92666,             0.50522,            0.034245,            0.027018,           0.0030421,            0.005974,            0.005974,            0.005974
                  63,            0.021516,            0.012674,          0.00091546,             0.97611,             0.88725,             0.94933,             0.53484,            0.030356,             0.02777,           0.0027647,            0.005908,            0.005908,            0.005908
